,title,location,address,phone,website,hours,description,source
14,Karma Collection,Calangute & Baga,Calangute-Arpora Rd. Calangute,9890361659,www.karmacollectiongoa.com,9.30am-10.30pm,"Beautiful home furnishings, textiles, ornaments, bags and other enticing stuff – some of it antique – has been sourced from across India, Pakistan and Afghanistan and gathered at Karma Collection, which makes for a mouth-watering browse. Fixed prices mean there’s no need to bargain, though it’s not cheap.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/karma-collection/a/poi-sho/1116808/1329280
15,Velha Goa Galeria,Panaji,Ourem Rd,,,10am-1pm & 3-7pm Mon-Sat,"One of several places in town specialising in azueljos (glazed coloured tiles), this gallery and shop is next door to Panjim Inn and offers tiles, vases and other ceramic objects reproduced in the old style by Portuguese artist, Anabela Cardosa. Pricey but great gifts or souvenirs.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/velha-goa-galeria/a/poi-sho/1430755/356231
16,Saturday Night Market,Calangute & Baga,Calangute-Anjuna Rd. Arpora,,,from 6pm Sat late Nov-Mar,"The original Saturday Night Market is in Arpora at the end of the Baga River Rd. It's grown into quite a huge affair with live bands, food stalls and a lot of so-so market stalls selling spices, clothing, jewellery, instruments and the like.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/saturday-night-market/a/poi-sho/1431364/1329280
17,Jaali,South Goa,,8007712248,,9.30am-6.30pm Nov-Apr,"This small boutique shop back from Patnem Beach stocks handicrafts, textiles, antiques and clothing sourced from all over India by the expat owner, as well as locally made pieces. Individual, hand-picked and interesting stuff.",https://www.lonelyplanet.com/india/goa/patnem/shopping/jaali/a/poi-sho/1508025/1302135
18,Sotohaus,North Goa,Fort Aguada Rd,0832-2489983,www.sotodecor.com,10am-6pm Mon-Sat,"Offering cool, functional items dreamed up by a Swiss expat team, this is the place to invest in a natural-form-inspired lamp, mirror or dining table, to add a twist of streamlined India to your pad back home.",https://www.lonelyplanet.com/india/goa/candolim-1329279/shopping/sotohaus/a/poi-sho/1116820/1329279
19,All About Eve,Calangute & Baga,Calangute-Arpora Rd. Calangute,0832-2275687,,10am-8pm,"Attached to Karma Collection, All About Eve stocks unusual clothes, bags and accessories, many designed by the owners themselves and which are unlike any of the usual array you’ll find on a beach-road stall.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/all-about-eve/a/poi-sho/1116807/1329280
20,New Municipal Market,Panaji,Heliogordo Salgado Rd,,,from 7.30am,This light-filled redeveloped building comprises mostly stacks of fresh fruit and vegetables downstairs and a few drab electronics shops and tailors upstairs. Less atmosphere than the nearby Municipal Market.,https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/new-municipal-market/a/poi-sho/1181953/356231
21,Marcou Artifacts,Panaji,31st January Rd,0832-2220204,www.marcouartifacts.com,9am-8pm Mon-Sat,"This cute little Fontainhas shop showcases one-off painted tiles, fish figurines and hand-crafted Portuguese and Goan ceramics at reasonable prices. Also has showrooms at Hotel Delmon and Margao’s market.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/marcou-artifacts/a/poi-sho/1505931/356231
22,Barefoot,Panaji,31st January Rd,,,10am-8pm Mon-Sat,"Part of Panaji’s new wave of high-end shops, specialising in design. Though pricey, it has some nice gifts ranging from traditional Christmas paintings on wood to jewellery and beaded coasters.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/barefoot/a/poi-sho/1290575/356231
23,Sosa’s,Panaji,E245 Ourem Rd,0832-2228063,,10.30am-7pm Mon-Sat,"A boutique carrying local labels such as Horn Ok Please, Hidden Harmony and Free Falling, Sosa’s is among the best places in Panaji to source upscale Indian women's fashion.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/sosa-s/a/poi-sho/1116840/356231
24,MMC New Market,Margao,Rua F de Loiola,,,8.30am-9pm Mon-Sat,"Margao’s crowded, covered canopy of colourful stalls is a fun but busy place to wander around, sniffing spices, sampling soaps and browsing the household merchandise.",https://www.lonelyplanet.com/india/goa/margao-madgaon/shopping/mmc-new-market/a/poi-sho/1291481/356235
25,Star Magic Shop,Calangute & Baga,Tito's Lane. Baga,,,9am-late,Learn magic tricks in just two minutes (that’s the claim!) at this little Baga shop in Tito's Lane. Also has a stall at the Anjuna flea market.,https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/star-magic-shop/a/poi-sho/1181630/1329280
26,Baga Tibetan Market,Calangute & Baga,Calangute-Baga Rd. Baga,,,9am-9pm,"Jewellery and semiprecious stones are the stock at this Baga market. Sold by weight, but bargaining is expected.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/baga-tibetan-market/a/poi-sho/1506864/1329280
27,Mackie’s Saturday Nite Bazaar,Calangute & Baga,Baga River Rd. Baga,,,from 6pm Sat Dec-Apr,"Colourful Saturday night market on the Baga River with music, entertainment, shopping and food stalls.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/mackie-s-saturday-nite-bazaar/a/poi-sho/1291319/1329280
28,Rainbow Bookshop,North Goa,Vagator Beach Rd. Vagator,,,10am-7pm,Small but long-running shop stocking a good range of secondhand and new books.,https://www.lonelyplanet.com/india/goa/vagator-chapora/shopping/rainbow-bookshop/a/poi-sho/1075679/1329281
29,Manali Guest House,Anjuna,,,,9.30am-8.30pm,Long-running bookshop and travel agency.,https://www.lonelyplanet.com/india/goa/anjuna/shopping/manali-guest-house/a/poi-sho/1506869/356225
