restaurant_name,cuisines,ratings,address,timings,phone,must_haves,price,more_info,description,rating_count
Mayan Beach Club,"Continental, Italian, Bar Food",New,"Anjuna, Goa",12noon – 1am (Today),+917770034544,"₹2,000 for two people (approx.) with alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",Newly Opened
Artjuna,"Cafe, Mediterranean, Italian, Seafood, Fast Food, Desserts, Beverages",3.8,"Anjuna, Goa",7:30am – 10pm (Today),+917722080190,"Babaganush, Almond Croissant, Falafel Plate, Opera Pastry, Healthy Breakfast, Shakshuka",₹950 for two people (approx.),"Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages","Sit and Read, Peaceful Vibe, Healthy Food Options, Staff Communication, Great Food Great Service, Free Wifi","1,171"
Felix,"American, Cafe, Burger, Bar Food, BBQ, Salad, Beverages",4.4,"Anjuna, Goa",9am – 12midnight (Today),+919804305911,Rustic wholesome comfort food in a tropical garden setting & an all-women bar crew serving experimental and classic cocktails,"₹2,000 for two people (approx.) Without alcohol","Breakfast
Home Delivery
Takeaway Available
Wheelchair Accessible
Serves Alcohol
Indoor Seating
Table booking recommended
Smoking Area
Live Entertainment
Outdoor Seating
Live Music
High Chair Available
Live Sports Screening","Extensive Bar Menu, Staff Behaviour, Weekend Brunch, Lovely Ambience, Ambience was Super Cool, Good Wifi",167
RocoMamas,"American, Burger, Fast Food, Pizza, Beverages, Shake",4.4,"Calangute, Goa","12midnight – 2am, 12noon – 11:45pm (Today)",+919765755396,"₹1,400 for two people (approx.) with alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",88
Baba Au Rhum,"Cafe, Coffee, Italian, Mediterranean, Salad, Pizza, Fast Food, Beverages",4.4,"Baga, Goa","9am – 5pm, 6pm – 10pm (Today)",+919822866366,"Thin crust pizzas cooked in wooden ovens. Also popular for making breads, croissants and cakes","Cozy Setting, Excellent Variety, Lovely Ambience, Great Vibes, Good Quality Food, Fresh Ingredients","Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages","Baguette Sandwich, Supreme Burger, Earth Pizza, Croissant Sandwich, Brewed Beer, Vietnamese Coffee","1,957"
Pisco By The Beach,"Seafood, Italian, Steak",4.0,"Anjuna, Goa",12noon – 12midnight (Today),+919665378055,"Quality Food, Good Music, Decor, Elaborate Menu, View, Fresh Food","Exclusive of applicable taxes and charges, if any","Takeaway Available
Full Bar Available
Live Music
Romantic Dining
Outdoor Seating
Indoor Seating
Seaview","₹2,000 for two people (approx.) Without alcohol",108
Calamari Bathe & Binge,"Goan, Chinese, North Indian, Continental, Seafood, Italian, Desserts, Beverages",4.5,"Candolim, Goa",11:30am – 11:30pm (Today),+917350075105,Sea-facing view and live music,"Band Playing, Candle Light Dinner, Live Band, Seaview, Singer, Good Quality Food","Takeaway Available
Full Bar Available
Seaside
Romantic Dining
Desserts and Bakes
Indoor Seating
Live Music
Outdoor Seating
Live Entertainment","Fried Calamari, Fish Fingers, Paneer Tikka, Butter Garlic Prawns, Chicken Xacuti, Sea Food","1,153"
Antares Restaurant & Beach Club,"Goan, Italian, Desserts, Beverages",4.2,"Vagator, Goa",12noon – 2am (Today),+917350011528,"Ricotta Pizza, Kiwi Mojito, Pesto Spaghetti, Crunchy Chicken, Bbq Chicken, Bruschetta","₹2,500 for two people (approx.) Without alcohol","Home Delivery
Full Bar Available
Live Music
Seaview
Table booking recommended
Romantic Dining
Live Entertainment
Desserts and Bakes
Outdoor Seating
Smoking Area
Wifi","Food and Hospitality Amazing, Ambience was Great, View of Beach, Amazing Views, Excellent View, Staff Service","1,568"
Britto's Restaurant & Bar,"North Indian, Goan, Italian, Seafood, Desserts, Beverages",4.4,"Baga, Goa",8:30am – 12midnight (Today),+919970395296,"Sea Food Platter, Calamari, Desserts, Platter, Seafood, Pasta","₹1,700 for two people (approx.) Without alcohol","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
Seaview
Smoking Area
Live Music
Indoor Seating
Outdoor Seating
Desserts and Bakes","Best Ambience, Shack, View, Main Course, Live Music, Location","4,578"
Fat Fish,"Goan, Seafood, Continental, North Indian, Italian, Beverages, Desserts",4.0,"Baga, Goa",12:30pm – 12midnight (Today),+918806177550,A Variety Of Seafood Dishes,"Authentic, Worth Waiting, Huge Place, Light Music, Perfect Location, Lovely Ambience","Home Delivery
Takeaway Available
Indoor Seating
Wifi
Smoking Area
Outdoor Seating
Family Friendly
Desserts and Bakes","Prawn Thermidor, Roasted Potato, Baked Fish, Prawn Peri Peri, Crab Xacuti, Butter Garlic Crab","2,567"
The Market - Westin Goa,"Asian, Continental, North Indian, Biryani, Goan, Desserts",4.2,"Anjuna, Goa",7am – 12midnight (Today),+918087096910,"Amazing Interiors, Fair Prices, Fresh Food with Good Quality, Quantity, Staff, Ambience","Exclusive of applicable taxes and charges, if any","Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","₹2,400 for two people (approx.)",358
Saz On The Beach,"Continental, Italian, Fast Food, Salad",3.9,"Morjim, Goa",1pm – 1am (Today),+917030077170,"Seating, Vibe, Crowd, Ambience","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Seaview
Indoor Seating","₹1,400 for two people (approx.) Without alcohol",87
Dubki - Dawn & Dusk Bar,"Continental, Seafood, Asian, Fast Food, Desserts",4.1,"Vagator, Goa",1pm – 12midnight (Today),+918623888190,"₹1,500 for two people (approx.) with alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",33
Bay 15,"Italian, Goan, Continental, North Indian, Chinese, Salad",4.4,"Panaji, Goa",11am – 11pm (Today),+917447499070,"Chocolate Brownie Ice Cream, Lasagne Pasta, Prawn Pulav, Chicken Tikka Sandwich, Creme Caramel, Choco Lava","₹1,800 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Table booking recommended
Seaside
Romantic Dining
Smoking Area
Live Music
Indoor Seating
Wifi
Outdoor Seating","The Place is Really Good, Highly Recommended, Good Food and Good Service, Attractive Ambience, Amazing Views, Seaview","2,200"
Ziki,"Sushi, Asian, Italian, North Indian, Seafood",4.4,"Anjuna, Goa",12noon – 1am (Today),+918010312696,"₹1,000 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",89
Angry Sardar Courtyard,"Mughlai, North Indian, Biryani, Chinese, Desserts, Beverages",4.2,"Anjuna, Goa",24 Hours (Today),+917796171220,"Family Crowd, Good Wifi, Great Taste, Elaborate Menu, Young Crowd, Affordable Prices","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Serves Cocktails
Karaoke
Live Sports Screening
Live Music
Indoor Seating
Smoking Area
All Day Breakfast
Desserts and Bakes
Live Entertainment","₹1,500 for two people (approx.) Without alcohol",266
Yazu - Pan Asian Beach Club,"Asian, Chinese, Sushi, Japanese, Desserts",4.2,"Candolim, Goa",1pm – 11pm (Today),+917447709661,"Ramen Noodle, Chocolate Souffle, Dimsums, Bao, Dumplings, Sushi","₹1,900 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Live Sports Screening
Indoor Seating
Family Friendly
Smoking Area
Romantic Dining
Valet Parking Available
Outdoor Seating
Desserts and Bakes
Seaview","Ambiance and Music, Good Service Staff, Location of the Restaurant, Large Servings, Good Vibe, Beach View",595
Moshi Moshi,"Asian, Japanese, Chinese, Thai, Sushi, Beverages",4.0,"Assagao, Goa","12noon – 4pm, 6pm – 12midnight (Today)",+918800799228,"₹1,500 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",98
Cafe Cotinga,"Goan, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts, Beverages",4.5,"Anjuna, Goa",8:30am – 5am (Today),+918669664477,"Chickonara Pizza, Sauteed Vegetables, Banoffee Pie, Shakshuka, Coffees, Pastries","₹1,800 for two people (approx.) Without alcohol","Breakfast
Home Delivery
Takeaway Available
Full Bar Available
Live Entertainment
Live Music
Romantic Dining
Wifi
Desserts and Bakes
Valet Parking Available
Outdoor Seating
Indoor Seating
Smoking Area","Romantic Place, Beautiful Cafe, Good Value, Lovely Ambience, Breakfast Menu, Good Options","1,593"
Felix Beach,"Seafood, American, European, Pizza, Continental",4.1,"Morjim, Goa",12noon – 11pm (Today),+919209317543,"₹1,200 for two people (approx.) Without alcohol",,"Home Delivery
Takeaway Available
Full Bar Available
Live Music
Outdoor Seating
Smoking Area
Seaview
DJ
Indoor Seating
Live Sports Screening
Seaside
Table booking recommended","Exclusive of applicable taxes and charges, if any",86
Elephant & Co.,"Continental, Asian, Italian, Bar Food, Beverages, Desserts",4.6,"Anjuna, Goa",12noon – 12:30am (Today),+917666361130,"₹1,500 for two people (approx.) Without alcohol",,"Home Delivery
Takeaway Available
Full Bar Available
Indoor Seating
Pet Friendly
Desserts and Bakes
Outdoor Seating
Table booking recommended
Smoking Area","Exclusive of applicable taxes and charges, if any",65
Burger Factory,"Burger, Fast Food, Shake, Beverages",4.5,"Anjuna, Goa",12:30pm – 10pm (Today),+919075640690,Flavoursome gourmet burgers,"Portion Size is Big, Highly Recommended, Cozy Place, Decoration, More Variety, Relaxed Atmosphere","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages","Peanut Butter Milkshake, Coconut Shake, Chicken Filet, Spinach Burger, Fries Basket, Veg Pattice","1,587"
Ginnis Biggie Burger,"Burger, Wraps, American, Fast Food",4.0,"Vagator, Goa","12midnight – 6am, 12noon – 12midnight (Today)",+919373377574,"Tandoori Tadka, Wraps, Veg Burger, Beef Burger, Fries, Sauce",₹850 for two people (approx.),"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Nice Packaging, Filling Food, Friendly Staffs, Delicious, Wonderful Presentation, Good Price",234
Maai - Inspired Food,"Goan, Burger, Sandwich, Lebanese",4.2,"Assagao, Goa",12noon – 1:30am (Today),+919699772306,"Elaborate Menu, Fresh Food, Good Quality, Ambience","Exclusive of applicable taxes and charges, if any","Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","₹1,700 for two people (approx.)",447
Salt Bar And Restaurant,"North Indian, Biryani, Chinese, Continental, Italian, Goan, Beverages, Desserts",4.5,"Baga, Goa",12noon – 2:30am (Today),+919920089111,"Thai Prawns Curry, Butter Chapati, Veg Hakka Noodles, Sea Food, Pasta, Sauce","₹1,400 for two people (approx.) Without alcohol","Home Delivery
Takeaway Available
Full Bar Available
Live Music
Table booking recommended
High Chair Available
Live Entertainment
Live Sports Screening
Sports TV
Outdoor Seating
Indoor Seating
Family Friendly
Smoking Area
Karaoke","Excellent Variety, Good Food and Good Ambience, Location of the Restaurant, Service is Great, Themed Decor, Singer","1,237"
The Lazy Goose,"Goan, Continental, Seafood, Fast Food",4.7,"Nerul, Goa",12noon – 12midnight (Today),+917775958419,"Mushroom Bites, Hazelnut Mousse, Chocolate Fondue, Jerk Chicken, Butter Garlic Crab, Barbeque Chicken","₹1,800 for two people (approx.) Without alcohol","Cash and Cards accepted
Digital payments accepted","Lovely Staff, Perfect Setting, Excellent Staff, Trained Staff, Live Singing, Good Quality Food","1,341"
Martin's Corner,"North Indian, Chinese, Goan, Sandwich, Salad, Beverages",4.4,"Betalbatim, Goa","11:30am – 4pm, 6:30pm – 11:30pm (Today)",+918322880413,A multi-cuisine restaurant with live entertainment,"Live Band Music, Excellent Variety, Affordable Rate, Band Playing, Big Restaurant, Lovely Music","Takeaway Available
Full Bar Available
Live Entertainment
Live Music
Indoor Seating
Family Friendly","Fried Calamari Rings, Grilled Lobster, Dutch Truffle, Calamari Fry, Prawn Pulao, Lobster Thermidor","2,815"
Sea Pebbles,"Goan, North Indian, Mughlai, Chinese, Biryani, Beverages",4.3,"Panaji, Goa",12noon – 11pm (Today),+919699719370,"Impressive Decor, Ocean View, Decent Prices, Great Vibes, Good Services, Best Services","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Live Entertainment
Live Music
Seaside
Outdoor Seating
Romantic Dining
Family Friendly
Desserts and Bakes","₹1,400 for two people (approx.) Without alcohol",550
Toro Toro,"Asian, Italian, Goan, Seafood, Continental, Beverages, Desserts",4.7,"Baga, Goa","10am – 5pm, 7pm – 12midnight (Today)",+918805808843,"Meat Balls, Bbq Chicken, Nachos, Hummus, Lobster, English Breakfast","₹1,800 for two people (approx.) Without alcohol","Cash and Cards accepted
Digital payments accepted","Interior was Beautiful, Value for Money Experience, Lake, Themed Decor, Relaxed Atmosphere, Good Options",535
Biryani By Kilo,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",4.1,"Panaji, Goa",10am – 11pm (Today),18002122212,"Matka Phirni, Basmati Rice, Gulab Jamun, Chicken 65, Raita, Kebabs","₹1,200 for two people (approx.)","Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Contactless Delivery, Concept, Wonderful Presentation, Tamper Proof Packaging, Perfect Presentation, Recommended Place",272
Navtara Veg Restaurant,"South Indian, North Indian, Goan, Chinese, Street Food, Fast Food, Pizza, Desserts",3.9,"Calangute, Goa",7am – 10:30pm (Today),+919226077623,"Special Thali, Veg Thali, Dal, Tea, Biryani",₹700 for two people (approx.),"Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages
Tomato's Beachside Kitchen And Bar
4.4
DINING
-
DELIVERY
North Indian, Continental, Chinese, Italian, Seafood, Asian, Mughlai, Desserts","Affordable Rate, Pure Veg, Clean, Ac Section, Family Restaurant, Great Quality",859
Lush By The Cliff,"North Indian, Chinese, Goan, Continental, Salad, Seafood, Italian, Fast Food",4.3,"Anjuna, Goa",12noon – 12midnight (Today),+918010993209,"Good Portions, Clean and Hygienic Place, Good Service, Elaborate Menu, View, Amazing Food","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Full Bar Available
Outdoor Seating
Seaview
Wifi
Indoor Seating
Smoking Area
Desserts and Bakes",₹950 for two people (approx.) Without alcohol,94
"Istaka - Bar, Bites & Bowls","Chinese, Continental, Pizza, Thai, American, South American, Beverages",4.2,"Vagator, Goa","12midnight – 1am, 1pm – 12midnight (Today)",+919330903512,"₹2,000 for two people (approx.) Without alcohol",,"Home Delivery
Takeaway Available
Full Bar Available
DJ
Serves Cocktails
Smoking Area
Resto Bar
Celebrity Frequented
Indoor Seating
Table booking recommended
Board Games
Outdoor Seating
Romantic Dining","Exclusive of applicable taxes and charges, if any",31
The Cape Goa,"North Indian, Mughlai, Continental, Fast Food, Goan, Seafood, Desserts, Beverages",4.6,"Agonda, Goa",12noon – 10:30pm (Today),+919822157541,"Variety of Veg Options, Ample Seating Area, Beautiful Place, Atmosphere, View, Portion","Exclusive of applicable taxes and charges, if any","Full Bar Available
Outdoor Seating
Indoor Seating
Family Friendly
Desserts and Bakes
Live Music","₹1,200 for two people (approx.) Without alcohol",116
Sukkha - The Indian Platter,"North Indian, Seafood, Biryani, Kebab, Mughlai, Rolls, Desserts",4.3,"Assagao, Goa","1pm – 4:30pm, 7pm – 12midnight (Today)",+919821880595,"Paneer Kathi, Beef Kabab, Dal Makhani, Butter Chicken","₹1,800 for two people (approx.) Without alcohol","Cash and Cards accepted
Digital payments accepted","Beautiful Space, Great Place for Family, Peaceful Place, Mouth Watering Food, Fresh Food with Good Quality, Comforting Atmosphere",133
Sukkha - The Indian Platter,"North Indian, Seafood, Biryani, Kebab, Mughlai, Rolls, Desserts",4.3,"Assagao, Goa","1pm – 4:30pm, 7pm – 12midnight (Today)",+919821880595,"Paneer Kathi, Beef Kabab, Dal Makhani, Butter Chicken","₹1,800 for two people (approx.) Without alcohol","Cash and Cards accepted
Digital payments accepted","Beautiful Space, Great Place for Family, Peaceful Place, Mouth Watering Food, Fresh Food with Good Quality, Comforting Atmosphere",133
OCCO,"Lebanese, Continental, Pizza, Italian, Seafood, Desserts",4.4,"Vagator, Goa",12noon – 1am (Today),+919112008080,"₹2,000 for two people (approx.) with alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",21
Blue Turtle Beach Bar & Restaurant,"Continental, Pizza, Burger, Goan, Seafood, Salad, Desserts",4.4,"Morjim, Goa",12noon – 12midnight (Today),+918263960079,"₹2,000 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",31
Pousada By The Beach,"Continental, Goan, Desserts, Beverages",4.8,"Calangute Beach, Calangute, Goa",11am – 8pm (Today),+919922279265,"Peri Peri Fish, Peri Peri Prawn, Chai, Prawn Balchao, Serradura, Sangria","₹3,500 for two people (approx.) Without alcohol","Full Bar Available
Indoor Seating
Family Friendly
Desserts and Bakes
Outdoor Seating
Seaview
Luxury Dining","Spectacular View, Great Recommendations, Amazing Location, Calm, Crew, Seaview","1,059"
Raeeth,"Goan, Continental, BBQ, Pizza, Italian, Desserts, Seafood",3.9,"Vagator, Goa",12noon – 3am (Today),+917654169539,"Variety of Pizza, Outdoor Seating, Served Quickly, Interior, Best Food under Best Budget, Young Crowd","Exclusive of applicable taxes and charges, if any","Takeaway Available
Full Bar Available
Serves Cocktails
Romantic Dining
Desserts and Bakes
Live Entertainment
Live Music
Wifi
Outdoor Seating
Family Friendly","₹1,800 for two people (approx.) Without alcohol",212
Kung Fook,"Chinese, Asian, Sushi, Desserts",4.2,"Anjuna, Goa",12noon – 11:45pm (Today),+919112001411,"Best in Service, Fresh Food, Good Quality, Staff","Exclusive of applicable taxes and charges, if any","Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages
Tomato's Garden Kitchen And Bar
4.4
DINING
4.2
DELIVERY
Goan, Asian, Italian, North Indian, Chinese, Kebab, Fast Food, Beverages",₹850 for two people (approx.),87
Qlay Mediterranean Kitchen Grill And Bar,"Mediterranean, Italian, Pizza, Salad",4.4,"Assagao, Goa",12:30pm – 11:30pm (Today),+918055500696,"₹2,000 for two people (approx.) Without alcohol",,"Thyme & Ash
3.9
DINING
-
DELIVERY
Continental, Beverages, Desserts
Tomato's Beachside Kitchen And Bar
4.6
DINING
-
DELIVERY
Sushi, Asian, Italian, Mediterranean, North Indian, European, Desserts, Beverages","Exclusive of applicable taxes and charges, if any",66
Mojigao,"Cafe, Mediterranean, Middle Eastern, Fast Food, Beverages",4.1,"Assagao, Goa",7:30am – 10:30pm (Today),+917722081090,"Healthy Food, Large Servings, Cooperative Staff, Very Affordable, Ambience was Super Cool, Food Presentation","Exclusive of applicable taxes and charges, if any","Home Delivery
Takeaway Available
Serves Alcohol
Pet Friendly
All Day Breakfast
Indoor Seating",₹950 for two people (approx.) Without alcohol,106
