,title,location,address,phone,website,price,description,source
24,Goa Marriott Resort,Panaji,Miramar Beach,0832-2463333,www.marriott.com,"d incl breakfast ₹17,800-23,500","Miramar’s plush Goa Marriott Resort is the best in Panaji, with a price tag to match. It's expertly choreographed, with the five-star treatment beginning in the lobby and extending right up to the rooms-with-a-view, fitness centre and extravagant buffet breakfast. The 24-hour Waterfront Terrace & Bar is a great place for a sundowner overlooking the exclusive riverside pool.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/goa-marriott-resort/a/poi-sle/1024784/356231
25,Yab Yum,North Goa,,0832-6510392,www.yabyumresorts.com,"hut/cottage from ₹10,600/12,050","This top-notch choice has unusual, stylish, dome-shaped huts – some look like giant hairy coconuts – made of a combination of all-natural local materials, including mud, stone and mango wood, as well as more traditional AC cottages. A host of yoga and massage options is available, and it’s set in one of the most secluded beachfront jungle gardens you’ll find in Goa.",https://www.lonelyplanet.com/india/goa/aswem/hotels/yab-yum/a/poi-sle/1116967/1329282
26,Bean Me Up Guest House,North Goa,1639/2 Deulvaddo. Vagator,7769095356,www.beanmeup.in,d incl breakfast ₹1500-2500,"Set around a leafy, shaded courtyard that’s home to Bean Me Up, Vagator’s best vegan restaurant, rooms here look simple but are themed with individual exotic decor, earthy shades, mosquito nets and shared verandahs. The mellow yoga-friendly vibe matches the clientele and the included breakfast is decadent. Morning yoga classes.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/bean-me-up-guest-house/a/poi-sle/1075681/1329281
27,Afonso Guesthouse,Panaji,St Sebastian Rd,0832-2222359,www.afonsoguesthouse.com,d ₹2500-3250,"Run by the friendly Jeanette, this pretty Portuguese townhouse offers eight spacious, well-kept rooms with timber ceilings. The little rooftop terrace makes for sunny breakfasting (not included) with Fontainhas views. It’s a simple, serene stay in the heart of the most atmospheric part of town. Checkout is 9am and bookings are accepted online but not by phone.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/afonso-guesthouse/a/poi-sle/1024788/356231
28,Panjim Pousada,Panaji,31st January Rd,0832-2226523,www.panjiminn.com,"s/d from ₹5900/6500, superior ₹8200/8700","In an old Hindu mansion, the nine divine, colonial fantasy rooms at Panjim Pousada are set off by a stunning central courtyard, with antique furnishings and lovely art on the walls. Various doorways and spiral staircases lead to the rooms; those on the upper level are the best but all have bags of character with modern conveniences.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/panjim-pousada/a/poi-sle/1024782/356231
29,Kala Bahia,South Goa,,9764863073,www.kalabahia.com,r ₹3100-4300,"At the northern end of Patnem Beach (reached by road via Colomb), Kala Bahia is a sweet guesthouse, veg restaurant and something of an event centre, with yoga, music and movie nights. Cocktails and sunset views looking back down on Patnem Beach are fabulous. Rooms are secure and comfortable and there are a few cabins.",https://www.lonelyplanet.com/india/goa/patnem/hotels/kala-bahia/a/poi-sle/1612902/1302135
30,Vaayu Waterman's Village,North Goa,,9850050403,www.vaayuvision.com,"hut ₹2500-4400, d with AC ₹4500","The excellent boutique rooms at this water-sports outfit are stylish with the sort of artistic and soulful vibe that goes with the attached gallery, wholefood Prana Cafe, yoga shala (studio) and surf shop. Across the road, facing the beach, are beautifully designed Keralan-style bamboo and thatch huts.",https://www.lonelyplanet.com/india/goa/aswem/hotels/vaayu-waterman-s-village/a/poi-sle/1552765/1329282
31,Resort Fiesta,Calangute & Baga,Tito's Lane. Baga,9822104512,www.fiestagoa.com,"d & ste incl breakfast ₹8000-10,200","Large, light-filled rooms are the signature at this beautifully designed boutique resort behind the beachfront restaurant of the same name. The labour of love by owner Yellow Mehta is stylishly appointed with a lovely garden and pool, large verandas and modern touches like TV, minibar and dual wash basins.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/resort-fiesta/a/poi-sle/1558648/1329280
32,Coco Shambhala,North Goa,,9372267182,www.cocoshambhala.com,"villas ₹46,000","The award-winning Coco Shambhala is a luxurious retreat with just four two-bedroom villas in a lush tropical garden, each with their own private jetpool, kitchen and complimentary car and driver. The resort prides itself on a personalised experience from the chef-prepared meals to the deluxe spa.",https://www.lonelyplanet.com/india/goa/reis-magos-nerul-beach/hotels/coco-shambhala/a/poi-sle/1431230/1315137
33,Kate’s Cottages,Palolem,Ourem Rd,9822165261,www.katescottagesgoa.com,d ₹4000-5000,"The two stunning rooms above Fern’s restaurant are beautifully designed with heavy timber finishes, huge four-poster beds, TV, modern bathrooms and views to the ocean from the balcony. There are also a couple of cheaper ground-floor cottages. Jack and Kate are lovely hosts.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/kate-s-cottages/a/poi-sle/1508022/1001559
34,Village,Anjuna,,9988882021,,d ₹3800-4500,"The solid timber and rendered concrete cottages here are some of the best-designed on the beachfront. Set in a pleasant garden, they feature large beds and bathrooms, and air-con to justify the price. It's behind Elephant Art Cafe.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/village/a/poi-sle/1552769/356225
35,Dudhsagar Spa Resort,Panaji & Central Goa,Molem,9766337696,www.dudhsagarsparesort.com,d/tents incl breakfast ₹3100/3500,"Molem’s main accommodation option, Dudhsagar Spa Resort is quite a bargain with air-con bungalows and luxury tents, set up around a garden. The tents are great, with huge beds, sleek modern furnishings and gorgeous deep baths, set on the quiet side of the site amid tall trees filled with monkeys. Online rates are often cheaper.
Staff can organise excursions into the park and other activities. There is also a spa with steam baths and sauna, three restaurants and a nice garden pool, and a range of ayurvedic and detox treatment programs.",https://www.lonelyplanet.com/india/goa/molem-region/hotels/dudhsagar-spa-resort/a/poi-sle/1430796/1329276
36,Fort Tiracol Heritage Hotel,Arambol (Harmal),,7720056799,www.forttiracol.in,"d incl breakfast ₹11,500-15,000, ste ₹20,000","The five rooms and two suites (all named after days of the week) are part of the refurbished heritage hotel within the walls of the Portuguese Fort Terekhol. It's really a stunning location and while the rooms aren't ultra-luxurious, they're furnished in keeping with the colonial flavour and come with modern bathrooms and TV.
The Tavern restaurant and bar, with colonial-style indoor dining room and an outdoor verandah with views down the coast towards Arambol is a superb spot for a lazy lunch and is open to nonguests.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/fort-tiracol-heritage-hotel/a/poi-sle/1605186/356226
37,Cajueiro Homestead,Panaji & Central Goa,,0832-2221122,www.cajueirohomestead.com,d incl meals ₹7200,"This remote-feeling farm retreat, 26km northwest of Molem and 23km northeast of Ponda, is the kind of place you book to get away from the beach, the traffic and the outside world. On a sprawling cashew and coconut plantation, the six rooms are comfortable and thoughtfully furnished, the restaurant provides meals and there's even a natural swimming pool.
Walks around the farm and quiet introspection are the main attraction here. It's hard to find (Valpoi is the nearest town) but transfers can be arranged from Panaji.",https://www.lonelyplanet.com/india/goa/molem-region/hotels/cajueiro-homestead/a/poi-sle/1613849/1329276
38,Lalit Golf & Spa Resort,South Goa,,0832-2667777,www.thelalit.com,"ste ₹16,000-20,000, villas from ₹140,000","Rajbag is dominated by the presence of this 85-acre five-star. The hotel is particularly popular with well-heeled domestic and Russian tourists, and is notable for having Goa’s only championship nine-hole golf course (nonguests ₹1550 for 18 holes), a helipad and the Rejuve Spa. The lagoon swimming pool will probably make you forget there’s an ocean outside.
Look out for the small Hindu temple to the left of the entrance – local pressure forced the developers to build around it rather than move it.",https://www.lonelyplanet.com/india/goa/rajbag/hotels/lalit-golf-spa-resort/a/poi-sle/1116965/1337589
39,Leela Goa,South Goa,,0832-6621234,www.theleela.com,"r ₹27,000-31,500, ste from ₹41,000","Goa’s largest and most luxurious resort, the opulent Leela is the place to indulge your five-star fantasies. Set amid 30 hectares of land, this enormous expanse of manicured Goan perfection has its own 12-hole golf course, and rooms of varying degrees of decadence.
Go for upmarket Indian and Goan cuisine at its signature Jamavar restaurant, or al fresco at Riverside, on the banks of the Sal River, which serves delicious Italian dishes along with a good dollop of la dolce vita.",https://www.lonelyplanet.com/india/goa/cavelossim-mobor/hotels/leela-goa/a/poi-sle/1024780/1315143
40,W Goa,North Goa,,0832-6718888,www.marriott.com,"r ₹34,000-60,000","Below Chapora Fort and terracing down to Vagator Beach, W Goa is the newest and swankiest hotel in North Goa with a price tag to match. This is luxury all the way with plush seaview suites and villas with sea or fort views and expansive gardens where golf carts ferry guests from pool to restaurant to beach.
Even if you can't afford to stay here it's worth considering a splurge at one of the restaurants, Rock Pool or Spice Traders, or the loungy Woobar.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/w-goa/a/poi-sle/1613989/1329281
41,Leela Cottages,North Goa,,0832-22822874,www.leelacottage.com,"cottage ₹5900-10,000, ste from ₹11,300","These luxury designer beach cottages (deluxe, luxury, grand and suite) are enveloped in a gorgeous leafy garden, just steps from the beach. Stand-out touches include antique bits and pieces in each cottage, ornate furniture, individually named rooms and lots of cute throw pillows, plus air-con and minibars. There’s a quality Satsanga Spa and drop-in yoga classes.
Dining options include beachfront Elevar restaurant and the raw vegan cafe Maa.",https://www.lonelyplanet.com/india/goa/aswem/hotels/leela-cottages/a/poi-sle/1430721/1329282
42,Crown Goa,Panaji,"Bairo Alto Dos Pilotos, Jose Falcao Rd",0832-240 0000,www.thecrowngoa.com,"d incl breakfast ₹11,200-14,000, ste from ₹15,500","Perched on a small hill above the Sao Tomé district, with fine views over the Mandovi, this spa-hotel-casino is a good option for a little bit of old-school luxury in the midst of the city. A lift takes you up to a lovely terrace with swimming pool (nonguests ₹500) and bar. Spacious rooms are airy and tastefully done in mustards and whites, some with balconies and views.
Along with the casino, there’s a day spa and well-equipped gym.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/crown-goa/a/poi-sle/1290440/356231
43,Dreamcatcher,Palolem,,9646872700,www.dreamcatcher.in,d huts ₹2500-6800,"One of the largest hut resorts in Palolem, Dreamcatcher’s 60-plus sturdy huts are nevertheless secluded, set in a coconut grove just back from the far northern end of the beach. One of the highlights here is the riverside restaurant and cocktail bar, plus the wide range of holistic treatments, massage and yoga on offer, with drop-in yoga and reiki courses available.
Access it from the back road running parallel to the beach.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/dreamcatcher/a/poi-sle/1181948/1001559
44,Pousada Tauma,Calangute & Baga,,0832-2279061,www.pousada-tauma.com,ste incl meals US$360-530,"If you’re looking for luxury with your ayurvedic regime, this gorgeous little boutique hotel in busy Calangute is appropriately shielded from the outside world. Spacious, nicely furnished suites are set around a super fountain-fed pool. Rates include all meals at the romantic little open-air Copper Bowl restaurant, though ayurvedic treatments in the private centre are extra.
There’s also a shuttle to its beach restaurant.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/pousada-tauma/a/poi-sle/1024791/1329280
45,La Maison,Panaji,31st January Rd,0832-2235555,www.lamaisongoa.com,r incl breakfast ₹4700-5300,"One of the growing range of boutique heritage hotels in Fontainhas, La Maison is historic on the outside but thoroughly modern and swanky within, with a Euro-meets-Orient vibe. The eight rooms are deceptively simple and homey but five-star comfortable with soft beds, cloud-like pillows, writing desks and flat-screen TVs. Breakfast is included and attached is the French fusion Desbue restaurant.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/la-maison/a/poi-sle/1505938/356231
46,Bamboo Yoga Retreat,South Goa,,9637567730,www.bamboo-yoga-retreat.com,cottages per person €82-92,"This laid-back yoga retreat, exclusive to guests, has a wonderful open-sided shala facing the ocean at the southern end of Patnem Beach, and three more shalas among the village of beautifully designed timber and thatched huts. Yoga holiday rates include brunch, meditation and two daily yoga classes, but there are also training courses and ayurvedic treatments.",https://www.lonelyplanet.com/india/goa/patnem/hotels/bamboo-yoga-retreat/a/poi-sle/1506073/1302135
47,Wonderland Hostel,Anjuna,"69/6, Govekar Vaddo",8692993770,www.wonderlandhostel.com,"dm ₹500-600, d ₹2000-2500, without bathroom ₹1200-1500","Superchilled Wonderland, off the path behind Anjuna Beach near Lilliput, has a lineup of cabins comprising en suite dorms and a few private rooms (some with AC), as well as a couple of old-school basic bamboo tree houses and space for tents. Owner Sandeep welcomes travellers into his loungy chill-out area with a small kitchen and cafe. Free yoga classes daily at 9am.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/wonderland-hostel/a/poi-sle/1611593/356225
48,Noi Varo,North Goa,Siolim-Chapora Rd,9011071911,www.shunyachi.com,"ste ₹10,300-13,500","This wonderful villa, ideal for families or groups looking to book the whole place, is uber exclusive. It’s a spacious, stunning refurbished Portuguese mansion with three double bedrooms and a variety of extra sleeping spaces. You can kick back amid antiques, hang out in its river-view tree house, consult with its gourmet chef and float in a cool swimming pool.",https://www.lonelyplanet.com/india/goa/siolim/hotels/noi-varo/a/poi-sle/1431323/1301993
49,Teso Waterfront,North Goa,Vaddy Siolim,0832-2270096,www.tesogoa.com,"luxury tents ₹18,200-23,300","This loungy upmarket party place has a cool location looking out on the lake-like mouth of the Chapora River, and is the new home of Thalassa restaurant. The safari Rajasthani tents are pricey but deluxe with air-con, fluffy beds, fridge, flat-screen TV, wardrobe and dresser. Muslin-wrapped cabanas make a great place to sip a cocktail overlooking the waterfront.",https://www.lonelyplanet.com/india/goa/siolim/hotels/teso-waterfront/a/poi-sle/1506452/1301993
50,Cassoi,South Goa,,7796456453,www.cassoibyciarans.com,huts & tents ₹3000-5000,"Woven into the palms on peaceful Galgibag Beach, this hut village has something for everyone with Rajasthani safari tents, round African-style huts, double-storey boat-shaped huts and air-con rooms in a house, all in an intimate garden. All the ecofriendly attention to detail is there and the restaurant serves great veg and nonveg food. Cassoi means 'turtle'.",https://www.lonelyplanet.com/india/goa/galgibag-talpona/hotels/cassoi/a/poi-sle/1612267/1329294
51,H2O Agonda,South Goa,Agonda Beach,9921836730,www.h2oagonda.com,d incl breakfast ₹5700-9300,"With its purple and mauve muslin curtains and Arabian nights ambience, H2O is among the most impressive of Agonda’s luxury cottage setups. From the hotel-style reception, walk through a leafy garden to the spacious cottages with air-con and enormous open-air bathrooms. The more expensive sea-facing cottages with king-size beds may be worth paying extra for.",https://www.lonelyplanet.com/india/goa/agonda/hotels/h2o-agonda/a/poi-sle/1506072/1302133
52,Nilaya Hermitage,Calangute & Baga,,0832-2269793,www.nilaya.com,"r & tent incl breakfast ₹17,300","The ultimate in Goan luxury, set 3km inland from the beach at Arpora, a stay here will see you signing the guestbook alongside Bollywood stars and other celebrity types. Eleven beautiful red-stone Moorish rooms undulate around a swimming pool, along with two luxury 'Arabian Nights' tents. The food is as dreamy as the surroundings, and the spa will spoil you.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/nilaya-hermitage/a/poi-sle/1150095/1329280
53,Island House,Divar Island,No 45 Piedade,8322280605,www.islandhousegoa.com,r incl breakfast ₹5600,"Island House is a divine family-run homestay in a beautiful old Portuguese mansion. The villa and heritage rooms come with bathroom and colonial furnishings while outside is a pretty garden and pool, part of the rambling grounds. Home-cooked meals can be enjoyed inside or by the pool. It’s just west of the main village but there’s no sign – call ahead.",https://www.lonelyplanet.com/india/goa/divar-island/hotels/island-house/a/poi-sle/1430784/1329271
54,Vivanta by Taj Holiday Village,North Goa,Fort Aguada Rd,1800-111825,www.vivanta.tajhotels.com,"cottages ₹21,800-35,200","The Taj’s garden complex comprises 142 cottages and villas in a smart variation on a five-star theme, with all the luxuries you’d expect from this top-end chain. The palm-filled garden spills down to the beach, and its Banyan Tree restaurant is well regarded for good Thai food in beautiful al fresco surroundings.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/vivanta-by-taj-holiday-village/a/poi-sle/1024770/1329279
