temple_name,temple_image,temple_location,temple_description
Mahalsa Temple (Mardol),https://goa-tourism.com/wp-content/uploads/2021/09/shree-mahalasa-temple.jpg,https://goo.gl/maps/dHRQC6W2TCpTQVABA,"The temple of Mahalsa Narayani is located at the small village of Mardol, just about a kilometre from the famous Mangueshi temple and about 22 kms from Panaji, the capital city.Originally, the deity was housed in a temple at an ancient shrine in village of Verna which is now the site of an industrial estate. Along with other Goan temples, this beautiful temple at Verna was also marked for destruction by the Portuguese around 1543.However, before the actual demolition could take place the idol of the deity was smuggled away across the river by faithful devotees, to the safer locale of Mardol, where it is located today.Mahalsa is a Hindu goddess. She is venerated in two distinct traditions. As an independent goddess, she is considered as a form of Mohini, the female avatar of the god Vishnu and is called Mahalasa Narayani."
Mahadev Temple (Tambdi Surla),https://goa-tourism.com/wp-content/uploads/2021/09/temple-mahadev-mandir.jpg,https://goo.gl/maps/rr5aWaWaqL5JwxPL7,"The most ancient temple in the whole of Goa is Mahadev temple located at a place called Tambi Surla at Mollem.The temple itself was built in Jain style in the Twelfth century. There are some interesting details about the construction itself which has led to debates about the actual origins of the temple. The temple is built in a place which is quite inaccessible and away from the main settlements of the time.The small, beautifully carved and perfectly proportioned black basalt temple is dedicated to Lord Shiva is considered to be the only specimen of Kadamba-Yadava architecture in basalt stone preserved and available in Goa."
Madanant Mandir,https://goa-tourism.com/wp-content/uploads/2021/09/madanant-mandir-goa.jpg,https://goo.gl/maps/Uf8zZNRUqmXjCfsA9,"Shri Madanant temple is situated in Savoi, Verem in the Ponda Taluka and is surrounded by hills and fields, betel nuts, coconut and cashew nut trees.The deity to whom this temple in the Ponda taluka is dedicated, Shri Vishnu is lying on the Sheshyasan. Shri Laxmi, the consort of Vishnu, is sitting at the feet of Lord Vishnu. The temple is believed to be 500 years old."
Manguesh Temple,https://goa-tourism.com/wp-content/uploads/2021/09/Mangeshi-temple-at-Priol-1.jpg,https://goo.gl/maps/96uD1mEzRrnZeitC9,"This temple had its origins in Kushasthali Cortalim, a village in Saxty (Salcette) which fell to the invading Portuguese in 1543. In the year 1560, when the Portuguese started conversions in Salcete taluka, the Saraswats of Vatsa Gotra moved the Manguesh Linga from the original site at the Kushasthali or Cortalim on the banks of river Aghanashini (Zuari) to its present location at Mangueshi in Priol village of Atrunja Taluka, which was then ruled by the Hindu kings of Sonde of Antruz Mahal (Ponda), to be more secure.Since the time of the shifting, the temple has been rebuilt and renovated twice during the reign of the Marathas and yet another time in the year 1890. The final renovation occurred in the year 1973 when a golden kalasha (holy vessel) was fitted atop the tallest dome of the temple."
Maha Ganapati Temple,https://goa-tourism.com/wp-content/uploads/2021/09/IMG_20181210_120120.jpg,https://goo.gl/maps/GwA8FsfrE7X1329m6,"According to the Archaeological Survey of Goa, the idols of Maha Ganapati and Mahamaya (also referred as Durgadevi and Shantadurga) were located in Ella at Tiswadi, Goa along with Shri Gomanteshwar and its affiliates.During the Muslim invasion in Goa in the 13"
Mahalaxmi Temple,https://goa-tourism.com/wp-content/uploads/2021/09/shree-mahalaxmi-temple.jpg,https://goo.gl/maps/oGS9dSkyPUY2VLLt5,"The village of Bandode or Bandivade is the location of a number of temples among which is the large and beautiful temple of Goddess Mahalaxmi.The temple of Goddess Mahalaxmi has been in existence since at least the year 1413, when information about the rituals of the temple is found on stone plaques carved during the reign of Nanjan Gosavi Pratihast over Goa.However, there was another temple of Mahalaxmi in the fifteenth century in the town of Colva in Salcette. As is the case with most Hindu deities in Goa, the idol of Mahalaxmi from this temple was also smuggled away in the middle of the night to avoid persecution by the Portuguese in the sixteenth century."
The Lairai Mandir,https://goa-tourism.com/wp-content/uploads/2021/09/IMG_20201117_145019.jpg,https://goo.gl/maps/qhGcLw9nyrXPZf4U6,"The Lairai Mandir in Sirgao displays a combination of the northern and southern styles of art and temple design. The Shirgao Jatra is famous among devotees and tourists alike for the celebrated walk on hot coals raked from an enormous bonfire.The Jatra takes place in early part of May, when thousands of devotees of Devi Lairai descend on the small town and religious rituals and poojas dedicated to the Goddess are performed throughout the auspicious day.Hundreds of people from the villages in surrounding areas also take part in these celebrations. Groups of these villagers from villages such as Maulingem, arrive in the early morning hours and participate in events throughout the day."
Shri Vitthal Mandir,https://goa-tourism.com/wp-content/uploads/2021/09/temple-vitthal-mandir.jpg,https://goo.gl/maps/mzneCPUhi1rXBHr26,"Situated at Vithalwadi, Sanquelim. Shri Vitthal is the ancestral God of ‘Ranes’ who had put up prolonged memorable resistance to Portuguese rule.The main festival is Chaitri (April). Its celebration is a lavish affair for the people miles around The ancestors of the present Rane family, who are believed to have migrated to Goa from Udaipur about 600 years ago, built the famous Sri Vitthal temple situated on the bank of Valvanta River.The temple was reconstructed in 1942 AD, incorporating the North India style of temple architecture though sanctum-sanctorum was left untouched. The main festivities at the temple are held during the nine days preceding “Chairtra Purnima”.An exquisitely carved wooden chariot symbolizing the chariot of Arjuna of Mahabharata and driven by Lord Krishna is an important attraction of the temple complex."
Brahma Temple,https://goa-tourism.com/wp-content/uploads/2021/09/brahma-temple-1.jpg,https://goo.gl/maps/pm3HxkYyeBBSyq6y7,"Legend has it that Brahma the creator of the Hindu holy trinity was to have just one temple at Pushkar, in Rajasthan. However, little known to many, there is another Brahma temple, this one tucked away in a remote village of Nagargao in Valpoi, Goa.“The Brahma statue in this temple stands tall and elegant. The statue of Lord Brahma blesses all those who come to see him. The beautifully chiseled image of Brahma is dated to the Kadamba period and belongs to the 12"
Kamakshi Saunsthan Temple,https://goa-tourism.com/wp-content/uploads/2021/09/kamakshi-saunsthan.jpg,https://goo.gl/maps/3nvNcqhgaTrJ9hQT9,The temple of Shri Kamakshi is located amidst the hills of the picturesque village of Shiroda and was built in the late 16
