Name,Location,Address,Establishment Type,Restaurants Features,Meals,Prices ,Cuisine,Meal Type,Good_for,Reviews,Timings,Website_url,Must_try_items,Phone,Description
Dropadi,,"Palolem Beach, South Goa",,,,800,,,,,12:00 pm to 10:30 pm; every day,,"Butter Garlic Prawns, Sea Food Platter, Paneer Tikka Masala, Salads, Virgin Mojito, Cocktails, Lobster",,"Sun, sand, and cocktails with some great food can set the mood for a romantic date. And Dropadi is just the place for it with the serene shores in the background and the fine wine and delectable snacks it serves. Indulge in their amazing seafood platter (made from the fresh catch, needless to say) while being tucked away from the hustle and bustle of the coastal city. The picturesque backdrop and piquant meals are like the icing on the cake, especially when you are on a great Goan holiday! Click also places to visit in Goa, Night"
Magic Italy,,"Palolem Road, Palolem, South Goa",,,,800,,,,,09:30 am to 11:00 pm; every day,,"Bruschettas, Pasta, Tiramisu, Salads, Ravioli, Pepperoni Pizza",,"Find a little bit of Italy in this cozy eatery that serves the most authentic pizzas, pasta, ravioli, and much more with a local spin. This Pizzeria has its ingredients specially imported from Italy for the supreme rendition of the classic dishes, especially the wood-fired pizzas. The buzzing atmosphere and the comfy seating give you a divine slice of Naples, with the wafting aromas of garlic and olive oil. Heavenly, isn’t it?"
The Fisherman’s Wharf,,"Mobor, Cavelossim, South Goa",,,,1100,,,,,12:00 pm to 11:00 pm; Sunday to Thursday                    12:00 pm to 12:00 am; Friday to Saturday,,"Sea Food, Cocktails, Paneer Tikka, Fish, Jumbo Prawns, Chocolate Mousse, Tiramisu",,"This resto-bar is the complete package in South Goa for food, entertainment, and ambiance. Set in a rustic, warm, river-side area, the quality of food and services at this legendary eatery has always had rave reviews. Of the three outlets in Goa, the branch at Cavalossim is so exuberant as it sits in a luxe set up. Modern fusion food infused with the versatility of Goan spices is something you cannot resist. The amazing concoctions at the bar light up your mood along with the live music for a jolly good time with your folks."
Nostalgia,,"Raia, Margao, South Goa",,,,1200,,,,,11:00 am to 03:00 pm and 07:00 pm to 11:00 pm; closed on Mondays,,"Mutton Xacuti, Sea Food, Goan Prawn Curry, Chicken Steak, Cocktails, Beer, Fish",,"What a name! And what a place! This urban shack serves up the most delectable and authentic Portuguese and Goan delicacies with a touch of divinity in every bite. The earthen pots and the quintessential Goan ambiance are just right things to create nostalgia. Goan rice and curry served here will give you a throwback to your grandma’s kitchen. Now you know why its’ called Nostalgia, don’t you?"
Calamari,,"Dando Beach, Beside Santana Beach Resort, Candolim, Goa 403515",,,,1100,"Goan, Seafood",,,,,,"Calamari, Cocktails, Prawn Curry, Mocktails, Sea Food, Pizza, Recheado Masala",93717 03536,Binge on some exquisite meals only at Calamari at Candolim to have a taste of real authentic Goan cuisines. We highly recommend this place and we're sure you won't go home disappointed as they've got a mouth-watering list of dishes on their menu to satiate your hunger pangs. You'll be missing out on the best food in Goa if you skip out on visiting Calamari on your Goa trip.
Mum’s Kitchen,,"854, Martins Building, Dayanand Bandodkar Street, Panaji, Goa",,,,1700,"Goan, Seafood",,,,,,"Pork Vindaloo, Sea Food, Pomfret Curry, Sol Kadhi, Peri Peri Prawn, Prawn Curry, Fish Curry",9822175559,"Undoubtedly one of the best restaurants in Goa for authentic Goan cuisine. The menu’s vast and enticing.  Most of the regulars here are locals, so the kitchen doesn’t hold back on the spice. The service here is very fast but try booking the table before visiting because there is definitely waiting here to fetch a table. "
Venite Bar & Restaurant,,"31st January Road, Panaji, Goa",,,,1000,"Goan, Continental, Seafood",,,,,,"Veg Platter, Stuffed Crab, Pork Vindaloo, Garlic Bread, Pork Chops, Sea Food, Stuffed Steak",9850467008,This bar & restaurant is on the first floor of an old house and you are greeted with seashells at the entrance. This is run by a family and extremely famous for it’s authentic local Goan- Portuguese cuisine. The seafood here is also insane. Breakfast options include choices of eggs and sauces with mashed potatoes and potato chips. They remain closed on Sundays. Check out the markets nearby too. Find the best seafood in Goa at this exquisite restaurant
Thalassa,,"Small Vagator, Ozran, Vagator, Goa 403509",,,,1500,"Greek, Mediterranean",,,,,,"Meat Platter, Mocktails, Pizzas, Vegetable Moussaka, Chocolate Cake, Risotto, Baklava",98500 33537,"Perched on a hilltop, overlooking the magnificent Arabian Sea and picturesque small Vagator beach lies the best Restaurant in Goa serving exquisite greek food - Thalassa. Not just a Greek taverna in Goa, but a place where the warmth and sheer happiness of Greek hospitality amalgamate instinctively with the laid back, free and tranquil atmosphere and vibe of Goa. It boasts of having the best sunset view in all of Goa."
Pousada By The Beach,,"Gaura Vaddo, Calangute Beach, Calangute, Goa",,,,2000,"Continental, Seafood, Goan, Portuguese, Konkan",,,,,,"Mojito, Peri Peri Prawn, Sea Food, Chaat, Pork Vindaloo, Pasta, Bbq Chicken",9922279265,"Whatever the time of day, nothing could be more pleasurable than taking in breathtaking views in Goa at a Beach Sea Front Restaurant while savoring a delicious meal. The Pousada Beach Sea Front Restaurant caters to both senses. The Pousada Beach Sea Front Restaurant, this a little slice of Goa and an ideal place on the Arabian Sea to enjoy a coastal meal or snack on their private patio or just right for frolicking and sunbathing on the beach. This is the beach where you leave your troubles behind and get away from the world. Binge on the most famous food of Goa at this beautiul restaurant."
La Plage,,"Aswem Beach, Near Papa Jolly Hotel, Aswem Road, Morjim, Arambol, Goa",,,,800,"Seafood, French",,,,,,"Sea Food, Chocolate Thali, Chicken Burger, Beef Burger, Fries, Beef Carpaccio, Prawn Lollipop",9822121712,"La Plage is arguably one of the best places to eat in Goa. Located on Ashwem beach and hidden somewhere amongst the palms and bushes, La Plage offers a relaxed tropical atmosphere. Even though it is not the cheapest beach shack in Goa, by far, the menu at La Plage is one of the highly priced restaurants in Goa but is worth every penny. Getting a table here is not a tough task. However, getting a pre-booking will save you the waiting trouble if it’s caused anyhow. This one might burn a hole in your pocket but it's worth trying as it's one of the best restaurants in Goa."
Marbella Beach Restaurant,,"782, Gawdewada, Morjim-Ashvem Road, Arambol, Goa",,,,1200,"Seafood, Italian",,,,,,"Pizzas, Pizza, Dal Makhani, Butter Chicken, Garlic Naan, Dal Tadka, Paneer Tikka",8326450599,"This restaurant definitely re-defines the beach dining experience.  It’s food that lets the ingredients speak for themselves, it’s service with an unconditional level of care, it’s cocktails cutting-edge mixology and it’s a constantly evolving wine list. Fine dining? Sunset Cocktails? Cabana Beds?  Yep, they have it all and more: You’ll just love their special events and live music performances!"
Antares,,"Small Vagator Beach, Ozran, Vagator, Goa",,,,2000,Austrailian,,,,,,"Bruschettas, Sangria, Calamari, Risotto, Chocolate Mousse, Mojito, Sea Food",7350011538,"Set on the shores of Vagator, the beach club is one of Antares’ prime gathering places. Here one finds lavish day beds, woodfire pizzas, tasty share plates and refreshing cocktails to break up the dips in the ocean all whilst listening to sunset rituals and live music played by internationally renowned artists. The cuisine is quite simple really: fresh ingredients, exotic flavors, and classic cooking techniques with an injection of flavor through a charcoal grill. Situated right next to Thalassa, people are usually confused about where they should go. But if you have enough time, visit both, because Antares and Thalassa are two completely different and good places to chill you mustn’t miss out on. It's classy and sophisticated which definitely makes it one of the best restaurants in Goa."
Cafe Chocolatti,,"409A, Fort Aguada Rd, Candolim, Bardez, Goa 403515",,,,1000,Continental,,,,,,"Coffee, Waffles, Croissant, Veg Panini, Brownie, Cappuccino, Strawberry Shake",9326112006,"This place is 15 years old. Run by a Londoner who’s been living in Goa, Café Chocolatti is a paradise for English treats and other global favorites. This cafe rests as an extension to the owner’s villa. Situated on the Fort Aguada Road, Cafe Chocolatti offers an array of freshly made homemade dishes from cakes, salads, pasta, sandwiches, and desserts. "
Cafe Bodega,,"63/C-8, Sunaparanta Centre For The Arts, Near Lar De Estudiantes, Altinho, Panjim, Goa 403001",,,,800,,,,,,,"Coffee, Veg Quiche, Cucumber Cooler, Waffles, Pizza, Pasta, Carrot Cake",8322421315,"In the sunny courtyard of the Sunaparanta Centre for the Arts, Bodega is quiet, peaceful and welcoming open throughout the day. The café has a charming ambiance with a view of the open outdoors, non-intrusive music, free Wi-Fi and pleasant staff. Given the paucity of places in Panaji where you can get wholesome breakfast, Bodega tops the list with its all-day-breakfast menu."
A Reverie,,"Holiday Street, Gauravaddo, Calangute, Goa 403516",,,,3000, Continental,,,,,,"Mushroom Risotto, Pad Thai, Spring Roll, Chicken Wings, Pasta, Noodles, Tiramisu",8380095732,"A Reverie is a super pretty and well-lit place surrounded by a lush green garden. It gives a very contemporary feel. The warmth that the couple that owns it adds to it makes you feel at home. Situated on the holiday street in Calangute, the interiors of the place have been done very nicely. Disco balls, chandeliers, intricate lamps add to the charm of the place. Rooted in fusion cuisine, it has an internationally inspired menu and the food here is nothing like you have tasted before. A Reverie is one of the best restaurants in Goa on the north side. "
Burger Factory,,"Soranto Vaddo, Anjuna Mapusa Road, Anjuna, Goa 403509",,,,1100,Fast food,,,,,,"Spinach Burger, Gourmet Burger, Mushroom Burger, Fries, Beef Burger, Watermelon Juice, Chicken Burger",8600990220,"Anjuna’s very own Burger King, this is a small set up with cozy interiors and provides some of the yummiest burgers in the vicinity. The people at the joint are friendly and always ready to assist others. The place speaks of everything recycled, with inexpensive baskets used as lamps with the menu written on the wall. They serve only burgers and nothing else! Almost all their burgers have beetroot in them, but the taste is unique and addictive. Hands down, the burgers served here makes it one of the best fast food restaurants in Goa, except of course the good-old KFC in Calangute. This open air restaurant in Goa will definitely is perfect for a casual date."
Tuscany Gardens,,"Near Kingfisher Villa, Candolim, Goa",,,,1000,Italian,,,,,,"Mocktails, Bruschettas, Tiramisu, Chicken Ceaser Salad, Garlic Bread, Brownie, Panna Cotta",832 6454026,"Tuscany Gardens is a family-run restaurant in Candolim, Goa. Avi from Goa and Line from Denmark started this place together in 2007. It is the perfect place to eat if you are tired of curries or just have a craving for a thin crust pizza or al dente pasta. Known for being the best Italian restaurant in Goa, Tuscany Gardens swears to make you stop by and eat at one of the best places to eat in Goa. The vibe of the place is very garden-y as suggested by the name and it gives you a very mesmerizing feel. "
Sakana,,"Chapora Road, Anjuna, Goa",,,,1200,Japanese,,,,,,"Sushi, Beef Curry, Teriyaki Chicken, Beer, Lime Soda, California Roll, Miso Soup",9890135502,"This restaurant specializes in a single cuisine – Japanese. And that is exactly what puts this place in a league of its own in Goa. Sakana, the brainchild of Indian-Israeli Eliko and his Japanese wife Mali, boasts a number of USP’s and the best Japanese food in Goa. Not only do they have extremely inviting interiors situated in a well-crowded section of the Anjuna-Vagator beach belt but when you order an alcoholic drink here, their small is 50 CC and large is 100 CC that is significantly more than any other restaurant offers anywhere else. "
Go With The Flow,,"614, Calangute, Baga, Goa",,,,2000,Continental,,,,,,starters and desserts,7507771556,Housed within the premises of an ancient Portuguese mansion this gorgeous restaurant is located towards the end of the Baga Beach. Its ambiance and decor can get anybody drooling. The mansion that it is located in has only been recently revived and utilized which is why it has various touches of royalty. Let this place bring out the prince and princess dreams of you two and let the character play take you both over as the place will make you forget everything. Let this place make the romantic dinner you're on in Goa one of the best you've ever had. 
Waterfront Terrace And Bar – The Marriot,,"The Marriott, Miramar Beach, Panaji, Goa",,,,2000,"North Indian, Continental, Mediterranean",,,,,,"All seafood, crab",8322463333,"With the most spectacular view, you can get in the Goan territory, stands the Marriot. Gorgeous edge of the seaside seating and a vast ocean and sky open right in front of you it literally gets astoundingly spectacular sitting under the million stars counting the ships and yachts as they pass. This Waterfront Terrace inevitably makes it to our list of romantic restaurants in Goa due to obvious reasons."
Riverside – The Leela,,"The Leela, Mobor, Cavelossim, Goa",,,,3000,Italian,,,,,,PastaCost ,0832 6621234,"Centered in the middle of gorgeous salmon-hued flowers and waters, the restaurant in Goa almost looks like one situated in the midst of clouds with its sheer beauty. The breezy vibe and the wooden furniture with the scents of organic flowers in the surrounding literally make you feel like you’re dining in heaven. A heady combination of asparagus, truffle, mushroom, and Parmesan in their kinds of pasta and organically cooked pizzas makes you lick your fingers like never before. One just can't miss this one out when we talk about top restaurants in Goa."
Pink Chilli,,"Sim Waddo, Arpora, Anjuna, Goa",,,,600,"Goan, Street Food, Thai,Continental",,,,,,"Chaat, Beer, Cocktails, Fries, Roti, Chilli Fry, Goan Fish Thali",9552351136,This Bollywood themed cafe has everything you've been looking from. The overall pink themed restaurant will leave you awestruck with their beautiful artsy decor and innovative interiors. You'll be spoilt for choices while addressing their menu. It's high time you ditch the usual cafes and try the famous food in Goa only at Pink Chilli.
The Black Sheep Bistro,,"wami Vivekanand Road, Near ICICI Bank, Panaji, Goa",,,,1500,"Seafood, Continental, European, German",,,,,,"Cocktails, Sangria, Churros, Stuffed Chicken Breast, Mocktails, Tea, Lasagne",9146190901,"A unique and beautiful restaurant in Panaji, missing out on this one should definitely be a crime as it offers scrumptious dishes to binge on. Their well-lit ambiance and artsy decor will make you come back again for sure. Don't forget to give this restaurant a visit when in Panjim. It's one of the best places to eat in Goa whenver in doubt."
Spice Goa,,"No. 3, Sat-Adhar Complex, Mumbai Goa Highway, Near Karaswada Junction, Mapusa, Goa",,,,900,"Goan, Seafood, North Indian, Chinese",,,,,,"Sea Food, Beer, Goan Thali, Prawn Curry, Dal Tadka, Fish Curry, Butter Chicken",8087621222,"Taste the real authentic Goan food only at Spice Goa. We take pride in mentioning this one on the list of best family restaurants in Goa as it's a heaven for seafood lovers. Classy interiors, value for money, never-ending menu - what else can you ask for?"
Bomra’s,,"247 Fort Aguada Road, Candolim",,,,,,,,,,,,,"Just one visit here will have you waxing lyrical about Bawmra Jap’s inspired Burmese cuisine. The ambiance of the place might not be over the top but at Bomra’s, the food does all the talking. Little wonder then that it boasts of such a loyal clientele."
La Plage,,"Ashwem Beach , Near Papa Jolly Hotel, Morjim, Arambol, Goa",,,,,,,,,,,,,You don’t have to go too far for fine French cuisine. La Plage serves up eclectic dishes in its fairytale shack that has been done up tastefully. Its quite a drive if you’re staying in North Goa but worth every dark mile you drive on the curvaceous Goa roads. Don’t be surprised if the owners themselves walk up to your table for feedback.
Zooris,,"Anjuna Beach ( extreme North end) | Anjuna, India",,,,,,,,,,,,,"For the most spectacular sunsets in Goa, Zoori’s is the place to be. It’s been around for ages and has quite a character to it. The hummus and pita here are relish-worthy and the gooey chocolate is your ticket to heaven. Zoori’s does not try too hard and that is the charm of this place; its laidback vibe and attitude."
Chef Fernando’s Nostalgia,,"H. No. 608, Near Our Lady Of Snow Church, Raia, Goa 403720",,,,,,,,,,,,,"In the sleepy village of Raia, you will find the most heartwarming Portuguese and Goan cuisine that will make you feel lucky to have discovered this treasure. Hand ground spices and ancient recipes will work their magic on your taste buds. This place scores full marks for authenticity."
A Reverie,,"Holiday Street, Gaura Waddo, Calangute, Goa",,,,,,,,,,,,,"Stylish and contemporary, A Reverie glams up European fare for you. The décor is simple yet classy and the food is right from the heart. Try the Wasabi Avacado Guacamole and the Chicken lollipops. Their cocktails are great too."
Venite,,"31st January Road, Panaji, Goa",,,,,,,,,,,,,"Going back to 1855, Venite is a veteran in Goa’s culinary scene for sure. Go classic here : Vegetable vindaloo, chouricos and toffee almond cheesecake. Venite’s rustic Goan cuisine will win you over. Choose a balcony table and enjoy the best goan food in Goa."
Artjuna,,"Monteiro Vaddo, Anjuna, Goa",,,,,,,,,,,,,"This vegetarian restaurant in Goa is quite unassuming and you can tell that it doesn’t believe in conformism. But once you get a bit comfortable here, you won’t want to leave. They serve Israeli and Mediterranean cuisine but fret not, they have a lot up their sleeve to please you."
Palacio Do Deao,," Opposite Holy Cross Church, Quepem.",,,,,,,,,,,,,This 18th century mansion makes for the perfect venue for the Goan delicacies that Celia Vasco Da Gama serves up with much passion. You will be served in a vintage covered courtyard that is surrounded by greens. The chef has kept the legacy of Goan cuisine alive and that is the biggest pull of this place. This one’s open for lunchtime only.
Fiesta,,"7/32, Saunta Vaddo, Baga Beach, Baga, Goa",,,,,,,,,,,,,"If you're one of those few who love to dress up in Goa, Fiesta is the place for you. Even if you're the lazy kinds, don’t miss this best restaurant in Goa in the labyrinth of wannabes at Baga. Try the best seafood in Goa, lobster or the prawns or just anything else for that matter- you won't be disappointed."
The Beach House,,"Taj Holliday Village Resort & Spa, Dando, Candolim, Candolim, Goa 403515, India",,,,"2,500 rupees for two","Specialties are galinha cafreal, kingfish, grande camarao com  cilantro, and pork sorpotel with sannas. The Goan thali is also highly recommended",,,,Daily for dinner only. 7:30 p.m. to 11:30 p.m.,,,832 664 5858,
"Martin's Corner 
",,"69, Binwaddo, Betalbatim, Goa 403713, India
",,,,"1,600 rupees for two.",Traditional Goan and Continental,,,, 11 a.m. until 3:30 p.m. and 6:30 p.m. until 11:30 p.m.,,,"832 288 0413
",
"Chef Fernando's Nostalgia 
",,"House 608, near Our Lady Of Snow Church, Margao Ponda Road, Raia, South Goa",,,,"1,200 rupees for two.","Traditional Goan such as Mutton Xacuti, Pork Sorpotel, and Prawn Curry.",,,, 11 a.m. to 3 p.m. and 7 p.m. to 11 p.m. Closed Sundays and Mondays,,,832 2777098,
Viva Panjim,,"H.No, 178, Rua 31 de Janeiro, behind Mary Immaculate High School, Fontainhas (quarter), Altinho, Panaji, Goa 403001, India",,,,800 rupees for two.,"Portuguese Goan. The prawn curry rice, with secret ingredients, is outstanding.",,,,"Daily 11:30 a.m. – 3:30 p.m., 7-11 p.m. except Sundays, 7-11 p.m.",,,832 242 2405,
"Hotel Venite  
",,"Rua 31 de Janeiro, Near Head Post Office, Altinho, Panaji, Goa 403001, India
",,,,1000 rupees for two.,"Portuguese Goan, grills, and seafood specialties.",,,,"9 a.m. until 10:30 p.m., daily except Sundays (closed)",,,"98504 67008
",
Mum's Kitchen ,,"854 Martin's Building, D B Street, Miramar, Panjim (near the Times of India office). Maravilha Resort, House 189, near Central Bank, Mazal Waddo, Assagao, North Goa.",,,,"1,700 rupees for two.",Hindu and Christian Goan.,,,,Daily from noon until 10 p.m.,,,98221 75559,
"Kokni Kanteen  
",,"Dr Dada Vaidya Road, near Mahalaxmi Temple, Altinho, Panjim",,,,700 rupees for two.,"Coastal Konkani, Hindu Goan",,,,"Noon to 3 p.m. and 7 p.m. to 11.30 a.m, daily",,,832 2421972,
"Bhatti Village Bar and Restaurant
",,"Bhatti Waddo, Nerul, inland from Candolim, North Goa.",,,,500 rupees for two.,"Goan seafood, beef, chicken and pork",,,,6.30 p.m. to 11 p.m. daily,,,9822184103,
"O'Coqueiro
",,"Panjim Mapusa Road, near Coqueiro Circle, Alto Porvorim, North Goa",,,,"1,000 rupees for two.",Goan Portuguese and Pan Asian,,,,"Noon to midnight, daily.",,,9822184103,
"  Fat Fish 
",,"Arpora Road, Calangute, North Goa.",,,,"1,200 rupees for two.","Goan Portuguese, Hindu Saraswat, Continental",,,,"Noon to midnight, daily",,,88060 77550,
"   House of Lloyds  
",,"House of Lloyds near candolim, church, Pilerne Industrial Estates, Goa 403114, India
",,,,"2,000 rupees for two."," Goan, grills, seafood, steak.",,,,"12:30 p.m. to 3 p.m. and 7 p.m. to 12.30 a.m, daily except Mondays (closed)",,,98230 32273,
"  Souza Lobo 
",,"Beach, Calangute, Goa 403516, India
",,,,"1,300 rupees for two.","Seafood and traditionally prepared Goan cuisine. Prawn curry rice, masala fish fry, and crab xacuti are popular dishes",,,,Noon to 4:30 p.m. and 7 p.m. to midnight every day,,,95293 18812,
Zeebop by the Sea,,"Opposite Kenilworth Beach Resort, Utorda Beach, Majorda, Goa, India",,,,800,"Seafood, Goan, North-Indian",,,,"11 AM to 4 PM, 6 PM to 11 PM",,,,
Simply Fish,,"Marriot Resort, Goa ",,,,1500,Seafood,,,,,,,,
A Reverie ,,"Holiday Street, Gaura Waddo, Calangute, Goa, India",,,,2000,Continental,,,,7 PM to 11 PM,,,,
Florentine's,,"Chogm Road, Saligao, Penha de Franca, Goa, India ",,,,800,Seafood,,,,"11:30 AM to 3 PM, 6:30 PM to 10:30 PM",,,,
Kamaxi Hotel,,"Polem Beach, Goa - 403728, India ",,,,400,Goan,,,,9AM-9PM,,,,
Souza Lobo Bar and Restaurant ,,"Calangute Beach, Calangute, Goa, India ",,,,1300,"North-Indian, Continental, Goan",,,,11:30 AM to 11:30 PM,,,,
Waves Restaurant ,,"782, Gawdewada, Morjim-Ashvem Road, Arambol, Goa, India",,,,1200,"Seafood, Italian",,,,11 AM to 3 PM & 7 PM to 2 AM,,,,
Casa Vaz Tea Shop,,"Abade Faria Road, Old Market, Near Holy Pharmacy, Margao, Goa - 403601, India",,,,50,Snacks,,,,9AM-9PM,,,,
Street-Food Stalls ,,"Colva Beach Road, Colva, Goa, India",,,,100,Snacks,,,,From 5PM,,,,
